"yearbuilt","finsqft","cooling","bedroom","fullbath","halfbath","lotsize","totalvalue","esdistrict","msdistrict","hsdistrict","censustract","age","condition","fp"
1978,1006,"No Central Air",3,2,0,5.015,282000,"Broadus Wood","Jouett","Albemarle","102.01",41,"Good",1
1983,1301,"Central Air",3,2,1,3.1,267300,"Broadus Wood","Jouett","Albemarle","102.01",36,"Good",1
1981,2008,"Central Air",3,2,0,15.88,501000,"Broadus Wood","Jouett","Albemarle","102.01",38,"Average",1
2010,2140,"Central Air",3,2,1,3.81,684300,"Broadus Wood","Jouett","Albemarle","102.01",9,"Average",1
2003,2810,"Central Air",4,3,1,4.284,510500,"Broadus Wood","Jouett","Albemarle","102.01",16,"Average",1
2004,3312,"Central Air",4,4,1,3.714,632800,"Broadus Wood","Jouett","Albemarle","102.01",15,"Average",1
2003,3425,"Central Air",3,4,2,17.571,826100,"Broadus Wood","Jouett","Albemarle","102.01",16,"Average",1
2005,4050,"Central Air",5,5,1,3.389,585900,"Broadus Wood","Jouett","Albemarle","102.01",14,"Average",1
2005,3047,"Central Air",4,4,1,3.344,623900,"Broadus Wood","Jouett","Albemarle","102.01",14,"Average",1
2002,3048,"Central Air",5,3,1,4.124,492300,"Broadus Wood","Jouett","Albemarle","102.01",17,"Average",1
2005,3466,"Central Air",5,4,0,35,942900,"Broadus Wood","Jouett","Albemarle","102.01",14,"Average",1
2007,3148,"Central Air",3,3,1,10.4,515000,"Broadus Wood","Jouett","Albemarle","102.01",12,"Average",1
1992,1954,"Central Air",3,3,NA,6,390700,"Broadus Wood","Jouett","Albemarle","102.01",27,"Average",1
2017,2911,"Central Air",4,3,NA,6,575600,"Broadus Wood","Jouett","Albemarle","102.01",2,"Average",0
1754,2024,"Central Air",3,2,0,5,283500,"Broadus Wood","Jouett","Albemarle","102.01",265,"Average",1
1957,1585,"Central Air",4,1,0,0.962,122500,"Broadus Wood","Jouett","Albemarle","102.01",62,"Fair",1
1888,2151,"No Central Air",3,1,0,184.875,921300,"Broadus Wood","Jouett","Albemarle","102.01",131,"Average",1
1977,1913,"Central Air",3,2,0,2.165,261100,"Broadus Wood","Jouett","Albemarle","102.01",42,"Average",1
1966,2611,"Central Air",3,4,0,2,398100,"Baker-Butler","Sutherland","Albemarle","102.01",53,"Fair",1
1966,1250,"No Central Air",2,1,0,1.7,205400,"Broadus Wood","Jouett","Albemarle","102.01",53,"Fair",1
1978,1624,"Central Air",3,3,0,8.32,354300,"Broadus Wood","Jouett","Albemarle","102.01",41,"Average",1
1980,2472,"Central Air",4,3,1,11.7,676000,"Broadus Wood","Jouett","Albemarle","102.01",39,"Average",1
2007,2384,"Central Air",3,4,1,9.876,562700,"Broadus Wood","Jouett","Albemarle","102.01",12,"Average",1
1990,1987,"Central Air",3,2,0,12.167,514700,"Broadus Wood","Jouett","Albemarle","102.01",29,"Good",0
1971,1824,"No Central Air",3,2,0,6.41,115400,"Broadus Wood","Jouett","Albemarle","102.01",48,"Substandard",0
2000,2276,"Central Air",4,2,1,5,332700,"Broadus Wood","Jouett","Albemarle","102.01",19,"Average",1
1966,1499,"Central Air",4,2,1,5.299,292200,"Broadus Wood","Jouett","Albemarle","102.01",53,"Average",1
1975,936,"Central Air",2,1,0,2.034,198200,"Broadus Wood","Jouett","Albemarle","102.01",44,"Good",1
1978,2045,"Central Air",4,2,1,2,315300,"Broadus Wood","Jouett","Albemarle","102.01",41,"Average",1
2008,2822,"Central Air",3,2,1,3.151,552500,"Broadus Wood","Jouett","Albemarle","102.01",11,"Average",0
2007,2918,"Central Air",4,4,1,2.026,557800,"Broadus Wood","Jouett","Albemarle","102.01",12,"Average",1
2007,3243,"Central Air",4,4,1,2.346,633500,"Broadus Wood","Jouett","Albemarle","102.01",12,"Average",1
2002,935,"No Central Air",1,1,0,8,127100,"Broadus Wood","Jouett","Albemarle","102.01",17,"Average",1
2010,2366,"Central Air",3,2,1,15.64,572300,"Broadus Wood","Jouett","Albemarle","102.01",9,"Average",1
1970,1464,"No Central Air",3,2,0,4.003,125500,"Broadus Wood","Jouett","Albemarle","102.01",49,"Poor",0
1988,1464,"Central Air",5,3,0,5.1,261400,"Broadus Wood","Jouett","Albemarle","102.01",31,"Average",1
1989,1400,"No Central Air",2,2,0,7.07,232500,"Broadus Wood","Jouett","Albemarle","102.01",30,"Average",0
1988,3206,"Central Air",3,3,0,7.92,465300,"Broadus Wood","Jouett","Albemarle","102.01",31,"Good",1
2003,3356,"Central Air",4,4,0,10,599200,"Broadus Wood","Jouett","Albemarle","102.01",16,"Average",1
1999,2504,"Central Air",3,2,1,6,403100,"Broadus Wood","Jouett","Albemarle","102.01",20,"Average",1
1984,2850,"Central Air",3,2,1,8.06,360600,"Broadus Wood","Jouett","Albemarle","102.01",35,"Average",0
1987,2128,"Central Air",3,2,1,7.7,374400,"Broadus Wood","Jouett","Albemarle","102.01",32,"Average",1
1989,2409,"Central Air",3,3,0,8.06,409300,"Broadus Wood","Jouett","Albemarle","102.01",30,"Average",1
1988,2186,"Central Air",3,3,1,11.149,389600,"Broadus Wood","Jouett","Albemarle","102.01",31,"Average",1
1979,2390,"Central Air",3,2,1,6.9,384400,"Broadus Wood","Jouett","Albemarle","102.01",40,"Average",1
1992,2946,"Central Air",3,2,1,8.76,432700,"Broadus Wood","Jouett","Albemarle","102.01",27,"Average",1
1987,3282,"Central Air",4,3,1,6.53,643900,"Broadus Wood","Jouett","Albemarle","102.01",32,"Average",1
1982,1958,"Central Air",1,2,1,5.03,351900,"Broadus Wood","Jouett","Albemarle","102.01",37,"Average",1
1990,2850,"Central Air",4,5,1,5.45,491500,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1997,2368,"Central Air",3,2,1,5.27,335900,"Broadus Wood","Jouett","Albemarle","102.01",22,"Average",1
2003,2579,"Central Air",3,3,0,4.69,416700,"Broadus Wood","Jouett","Albemarle","102.01",16,"Good",1
1996,2484,"Central Air",4,2,1,9.19,411600,"Broadus Wood","Jouett","Albemarle","102.01",23,"Average",1
1991,2709,"Central Air",3,3,0,11.12,449100,"Broadus Wood","Jouett","Albemarle","102.01",28,"Average",1
1990,3002,"Central Air",4,3,1,12.75,573900,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1981,2246,"Central Air",3,2,0,8.28,473900,"Broadus Wood","Jouett","Albemarle","102.01",38,"Average",1
1980,2943,"Central Air",3,3,0,7.122,467600,"Broadus Wood","Jouett","Albemarle","102.01",39,"Average",1
1990,2736,"Central Air",3,4,0,11.4,434400,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1986,1650,"No Central Air",3,2,0,12.09,256700,"Broadus Wood","Jouett","Albemarle","102.01",33,"Average",0
1993,2804,"Central Air",3,2,1,7.25,403900,"Broadus Wood","Jouett","Albemarle","102.01",26,"Average",1
1990,3252,"Central Air",3,3,0,7.94,488900,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1989,2304,"Central Air",4,3,1,5.11,390300,"Broadus Wood","Jouett","Albemarle","102.01",30,"Average",1
1985,1674,"Central Air",3,2,0,5.79,260900,"Broadus Wood","Jouett","Albemarle","102.01",34,"Fair",1
1983,3571,"No Central Air",3,2,0,3.97,446400,"Broadus Wood","Jouett","Albemarle","102.01",36,"Average",1
1980,1383,"Central Air",3,2,1,2.77,285400,"Broadus Wood","Jouett","Albemarle","102.01",39,"Average",1
1990,2012,"Central Air",4,4,0,2.97,370400,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1992,4458,"Central Air",4,3,2,2.77,577600,"Broadus Wood","Jouett","Albemarle","102.01",27,"Average",1
1990,1800,"Central Air",3,2,1,3.03,317600,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1992,2884,"Central Air",5,3,1,3.79,411300,"Broadus Wood","Jouett","Albemarle","102.01",27,"Average",1
1990,2729,"Central Air",3,2,1,3.03,397400,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1985,960,"No Central Air",3,2,0,7.03,216200,"Broadus Wood","Jouett","Albemarle","102.01",34,"Average",0
1991,1656,"Central Air",3,3,1,6.4,364300,"Broadus Wood","Jouett","Albemarle","102.01",28,"Average",1
1986,2232,"Central Air",3,3,1,3.66,416600,"Broadus Wood","Jouett","Albemarle","102.01",33,"Average",1
1989,2758,"Central Air",4,3,0,3.11,430600,"Broadus Wood","Jouett","Albemarle","102.01",30,"Average",1
1998,2040,"Central Air",3,2,1,3.16,336500,"Broadus Wood","Jouett","Albemarle","102.01",21,"Average",1
1979,1597,"Central Air",2,2,0,2.73,267600,"Broadus Wood","Jouett","Albemarle","102.01",40,"Average",1
1983,1675,"Central Air",3,2,1,3.18,260300,"Broadus Wood","Jouett","Albemarle","102.01",36,"Average",1
1985,1866,"Central Air",3,2,0,4.4,315600,"Broadus Wood","Jouett","Albemarle","102.01",34,"Average",1
1987,1893,"Central Air",4,4,0,7.3,331100,"Broadus Wood","Jouett","Albemarle","102.01",32,"Average",1
1981,1487,"Central Air",4,2,0,19.184,407300,"Broadus Wood","Jouett","Albemarle","102.01",38,"Average",1
2005,3282,"Central Air",4,3,1,5.101,505300,"Broadus Wood","Jouett","Albemarle","102.01",14,"Average",1
1988,2995,"Central Air",3,3,0,16.9,467600,"Broadus Wood","Jouett","Albemarle","102.01",31,"Average",1
2005,1344,"Central Air",1,1,0,4.09,204300,"Broadus Wood","Jouett","Albemarle","102.01",14,"Average",0
1981,1700,"Central Air",3,2,2,2.251,299000,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Good",1
1981,2288,"Central Air",4,2,1,2.05,329300,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,2040,"Central Air",3,2,2,2.197,338700,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1998,"Central Air",3,2,1,2.243,322300,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,2288,"Central Air",5,2,2,2.958,366900,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1968,"Central Air",3,2,0,2.301,322400,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,2576,"Central Air",4,2,1,2.186,348200,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1673,"Central Air",3,2,1,2.326,289600,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1983,1806,"Central Air",3,2,1,2.175,305000,"Baker-Butler","Sutherland","Albemarle","102.01",36,"Average",1
1981,2288,"Central Air",4,2,1,3.135,316700,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1657,"Central Air",3,3,0,2.891,311200,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,2288,"Central Air",4,2,1,2.071,303700,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,2461,"Central Air",4,2,1,2.074,332700,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1987,1931,"Central Air",4,2,1,2.044,312700,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2056,"Central Air",4,2,1,3.634,312600,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,1947,"Central Air",4,2,1,4.045,320300,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1988,2584,"Central Air",4,2,1,5.244,359600,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1987,2140,"Central Air",4,2,1,4.382,348400,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,1811,"Central Air",4,2,1,2.131,326900,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2180,"Central Air",4,2,1,2.024,334300,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2140,"Central Air",4,2,1,2.097,333400,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2445,"Central Air",5,3,1,2.104,365900,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2098,"Central Air",4,2,1,2.001,343300,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2072,"Central Air",5,3,1,2.011,368500,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1986,1944,"Central Air",4,2,1,2.043,322200,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1986,1860,"Central Air",4,2,1,2.206,312300,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Excellent",1
1988,1728,"Central Air",4,3,0,2.001,336200,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1987,1984,"Central Air",4,2,1,2.004,320000,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1988,2363,"Central Air",4,4,1,2.086,384000,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2397,"Central Air",4,2,1,3.196,376200,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Good",1
1987,1944,"Central Air",4,3,1,2.102,350300,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1986,2054,"Central Air",4,2,1,2.185,328000,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1988,1864,"Central Air",4,2,1,2.264,290000,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2438,"Central Air",4,2,1,2.204,346600,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2066,"Central Air",4,2,1,4.37,304800,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,3147,"Central Air",3,3,0,4.267,444000,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Good",1
1988,2110,"Central Air",4,2,2,3.057,341800,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1987,2140,"Central Air",3,2,1,4.954,353400,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2641,"Central Air",4,2,1,2.248,333300,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Excellent",1
1987,1978,"Central Air",4,3,1,2.035,334900,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Good",1
1988,2160,"Central Air",3,2,2,2.444,336500,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2648,"Central Air",4,2,1,2.202,375900,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Good",1
1987,1931,"Central Air",4,2,1,2.179,337200,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Good",1
1987,2542,"Central Air",4,3,1,10.354,403700,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1987,2308,"Central Air",4,3,1,2.246,354900,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1986,1884,"Central Air",4,2,1,2.01,308800,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1987,2644,"Central Air",4,3,0,2.381,370400,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1988,2589,"Central Air",7,3,2,2.04,380200,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1986,2138,"Central Air",4,2,1,2.411,325000,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1986,2644,"Central Air",4,4,0,2.154,390500,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1988,1728,"Central Air",3,2,0,2.234,386600,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1987,2490,"Central Air",4,3,0,2.11,363700,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1986,2057,"Central Air",2,2,0,2.383,338500,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
2002,1380,"Central Air",2,2,0,2.104,295900,"Baker-Butler","Sutherland","Albemarle","102.01",17,"Average",1
1986,1716,"Central Air",2,3,0,7.411,353300,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
2002,3310,"Central Air",4,3,1,4.141,434700,"Baker-Butler","Sutherland","Albemarle","102.01",17,"Average",1
1988,2608,"Central Air",4,4,0,4.392,428900,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2324,"Central Air",3,3,0,4.07,372000,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1987,2277,"Central Air",4,2,1,2.212,347200,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1988,2094,"Central Air",4,2,1,2.093,318900,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1987,2074,"Central Air",5,2,1,2.053,333400,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1988,1864,"Central Air",4,2,1,2.206,295800,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1986,1680,"Central Air",4,3,0,2.306,380300,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1987,2432,"Central Air",3,2,1,2.121,372900,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1988,2126,"Central Air",4,2,1,3.311,336300,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1986,1812,"Central Air",4,2,1,2.572,317100,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1988,2098,"Central Air",4,2,1,2.207,320900,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1986,1932,"Central Air",4,3,1,2.163,332800,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1988,2126,"Central Air",4,2,1,2.066,366400,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1984,1812,"Central Air",4,3,1,2.272,336200,"Baker-Butler","Sutherland","Albemarle","102.01",35,"Average",1
1982,1993,"Central Air",4,3,1,2.135,317400,"Baker-Butler","Sutherland","Albemarle","102.01",37,"Average",1
1981,1188,"Central Air",3,3,0,2.251,265300,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1664,"Central Air",3,2,0,2.106,287200,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1344,"Central Air",2,2,0,2.095,282700,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1985,1707,"No Central Air",3,2,0,2.268,317900,"Baker-Butler","Sutherland","Albemarle","102.01",34,"Average",1
1985,1768,"Central Air",3,1,2,2.129,321400,"Baker-Butler","Sutherland","Albemarle","102.01",34,"Good",1
1985,2184,"Central Air",4,2,1,2.118,340500,"Baker-Butler","Sutherland","Albemarle","102.01",34,"Average",1
1981,1198,"Central Air",4,2,0,2.145,284600,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1440,"Central Air",3,2,1,2.214,283400,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1440,"Central Air",3,3,1,2.007,286900,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1372,"Central Air",3,2,0,2.276,280300,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1404,"Central Air",4,3,0,2.178,299600,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,2783,"Central Air",4,2,1,2.218,366000,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1984,2067,"Central Air",4,2,1,2.399,348300,"Baker-Butler","Sutherland","Albemarle","102.01",35,"Average",1
1983,1776,"Central Air",3,2,1,3.126,303200,"Baker-Butler","Sutherland","Albemarle","102.01",36,"Average",1
1981,1690,"Central Air",3,2,1,3.94,331500,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1983,1248,"No Central Air",4,3,0,2.078,266600,"Baker-Butler","Sutherland","Albemarle","102.01",36,"Average",1
1984,1707,"Central Air",4,2,2,2.057,352600,"Baker-Butler","Sutherland","Albemarle","102.01",35,"Good",1
1981,1228,"Central Air",4,3,0,2.182,287400,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1984,1480,"Central Air",3,2,1,2.023,282300,"Baker-Butler","Sutherland","Albemarle","102.01",35,"Average",1
1988,1933,"Central Air",4,2,1,2.022,291400,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1985,1500,"Central Air",3,2,2,2.133,305200,"Baker-Butler","Sutherland","Albemarle","102.01",34,"Excellent",1
1985,2184,"Central Air",4,2,1,2.149,309400,"Baker-Butler","Sutherland","Albemarle","102.01",34,"Average",1
1981,1452,"Central Air",3,2,1,2.09,288700,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1354,"Central Air",4,3,0,2.323,298100,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Good",1
1982,1664,"Central Air",4,2,2,2.486,331300,"Baker-Butler","Sutherland","Albemarle","102.01",37,"Average",1
1982,2097,"Central Air",4,2,1,2.167,329200,"Baker-Butler","Sutherland","Albemarle","102.01",37,"Average",1
1983,1653,"Central Air",3,2,1,2.281,308900,"Baker-Butler","Sutherland","Albemarle","102.01",36,"Average",1
1986,2264,"Central Air",4,2,1,6.465,320200,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1988,1946,"Central Air",4,2,1,4.809,315100,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1981,2288,"Central Air",4,2,1,7.822,367300,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1986,2184,"Central Air",3,2,1,11.894,362200,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Average",1
1988,2609,"Central Air",4,3,1,2.16,329800,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1981,2288,"Central Air",4,2,1,2.193,328100,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,3383,"Central Air",6,3,1,4.405,417800,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Good",0
1988,1813,"Central Air",4,2,1,2.002,299800,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1981,1800,"Central Air",3,2,2,2.174,331900,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
2000,3100,"Central Air",3,2,1,5.5,476300,"Broadus Wood","Jouett","Albemarle","102.01",19,"Average",1
1952,1664,"No Central Air",3,2,0,2.617,300600,"Baker-Butler","Sutherland","Albemarle","102.01",67,"Average",1
1984,2184,"Central Air",4,2,1,2.627,311700,"Baker-Butler","Sutherland","Albemarle","102.01",35,"Average",1
1988,2569,"Central Air",4,2,1,2.182,391800,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2056,"Central Air",4,2,1,2.1,313100,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1988,2393,"Central Air",4,2,2,2.209,400900,"Baker-Butler","Sutherland","Albemarle","102.01",31,"Average",1
1981,2518,"Central Air",4,2,1,2.133,382300,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1981,1480,"Central Air",3,2,1,2.261,293200,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
1985,2400,"Central Air",4,2,1,2.084,390900,"Baker-Butler","Sutherland","Albemarle","102.01",34,"Average",1
1983,2403,"Central Air",4,2,1,2.548,336300,"Baker-Butler","Sutherland","Albemarle","102.01",36,"Average",1
1986,1765,"Central Air",3,2,1,2.797,256000,"Baker-Butler","Sutherland","Albemarle","102.01",33,"Fair",1
2015,1705,"Central Air",3,2,0,6,603000,"Broadus Wood","Jouett","Albemarle","102.01",4,"Average",1
2018,1746,"Central Air",3,2,1,2.415,356600,"Broadus Wood","Jouett","Albemarle","102.01",1,"Average",1
2019,3572,"Central Air",5,3,NA,31.213,1055800,"Broadus Wood","Jouett","Albemarle","102.01",0,"Average",0
1900,2572,"No Central Air",3,2,0,31,420100,"Broadus Wood","Jouett","Albemarle","102.01",119,"Average",0
2013,3358,"Central Air",4,4,1,27,781900,"Broadus Wood","Jouett","Albemarle","102.01",6,"Average",1
1978,1775,"Central Air",3,2,0,1.973,299600,"Broadus Wood","Jouett","Albemarle","102.01",41,"Average",1
1908,1826,"Central Air",3,1,1,7.572,250700,"Broadus Wood","Jouett","Albemarle","102.01",111,"Average",1
1958,2113,"Central Air",3,2,0,10,485900,"Broadus Wood","Jouett","Albemarle","102.01",61,"Good",0
1998,3574,"Central Air",3,3,1,10,596300,"Broadus Wood","Jouett","Albemarle","102.01",21,"Average",1
1999,3484,"Central Air",5,3,1,36,524000,"Broadus Wood","Jouett","Albemarle","102.01",20,"Good",1
1836,3268,"Central Air",3,3,1,49.656,486100,"Broadus Wood","Jouett","Albemarle","102.01",183,"Average",1
1850,2531,"Central Air",3,3,0,30.754,499200,"Broadus Wood","Jouett","Albemarle","102.01",169,"Average",1
1994,2114,"Central Air",4,3,1,3.824,398400,"Broadus Wood","Jouett","Albemarle","102.01",25,"Good",1
1969,2833,"No Central Air",4,4,1,6.31,285000,"Broadus Wood","Jouett","Albemarle","102.01",50,"Fair",1
1990,2145,"Central Air",3,3,1,2,316600,"Broadus Wood","Jouett","Albemarle","102.01",29,"Average",1
1965,1643,"No Central Air",4,2,0,18.975,472400,"Baker-Butler","Sutherland","Albemarle","102.01",54,"Fair",1
1960,1224,"Central Air",3,1,0,9.408,272600,"Baker-Butler","Sutherland","Albemarle","102.01",59,"Average",1
1955,1103,"No Central Air",3,1,1,3.171,161500,"Baker-Butler","Sutherland","Albemarle","102.01",64,"Fair",0
1962,1352,"Central Air",3,2,0,5.002,273900,"Baker-Butler","Sutherland","Albemarle","102.01",57,"Good",0
1968,1333,"No Central Air",3,1,1,6.23,224800,"Baker-Butler","Sutherland","Albemarle","102.01",51,"Fair",1
1987,1100,"No Central Air",3,2,0,5,253700,"Baker-Butler","Sutherland","Albemarle","102.01",32,"Average",1
1996,1104,"Central Air",3,2,0,6.23,235700,"Baker-Butler","Sutherland","Albemarle","102.01",23,"Average",1
1975,1164,"No Central Air",3,1,1,1.898,155500,"Baker-Butler","Sutherland","Albemarle","102.01",44,"Fair",0
1965,2101,"Central Air",4,2,1,2.01,268200,"Baker-Butler","Sutherland","Albemarle","102.01",54,"Fair",1
1973,1056,"No Central Air",2,3,0,5.49,232900,"Baker-Butler","Sutherland","Albemarle","102.01",46,"Average",1
1967,1348,"Central Air",3,2,0,5.65,284300,"Baker-Butler","Sutherland","Albemarle","102.01",52,"Average",1
1969,1736,"No Central Air",3,2,0,2.168,261000,"Baker-Butler","Sutherland","Albemarle","102.01",50,"Average",1
2011,4428,"Central Air",3,3,1,2.396,603600,"Baker-Butler","Sutherland","Albemarle","102.01",8,"Average",1
1700,1660,"No Central Air",4,1,0,54,428900,"Baker-Butler","Sutherland","Albemarle","102.01",319,"Fair",1
1980,1650,"Central Air",3,2,0,6,281300,"Baker-Butler","Sutherland","Albemarle","102.01",39,"Average",1
2016,1872,"Central Air",3,2,0,5.967,274300,"Baker-Butler","Sutherland","Albemarle","102.01",3,"Average",0
1981,1560,"Central Air",3,2,0,5.287,332100,"Baker-Butler","Sutherland","Albemarle","102.01",38,"Average",1
2004,1584,"Central Air",2,3,0,22.25,343900,"Baker-Butler","Sutherland","Albemarle","102.01",15,"Average",1
1999,2563,"Central Air",3,2,1,5.05,373700,"Baker-Butler","Sutherland","Albemarle","102.01",20,"Good",1
1910,2377,"No Central Air",3,2,0,3.053,308400,"Baker-Butler","Sutherland","Albemarle","102.01",109,"Average",1
1978,960,"Central Air",3,2,0,2.05,163900,"Baker-Butler","Sutherland","Albemarle","102.01",41,"Average",1
2003,4716,"Central Air",3,3,0,5.449,678500,"Baker-Butler","Sutherland","Albemarle","102.01",16,"Average",1
1978,1679,"Central Air",3,2,0,5.549,297800,"Baker-Butler","Sutherland","Albemarle","102.01",41,"Good",1
1956,936,"No Central Air",2,1,0,1.23,107600,"Baker-Butler","Sutherland","Albemarle","102.01",63,"Poor",0
1960,1415,"No Central Air",3,2,0,0.68,146600,"Baker-Butler","Sutherland","Albemarle","102.01",59,"Fair",1
1950,1064,"No Central Air",5,2,0,1,181300,"Baker-Butler","Sutherland","Albemarle","102.01",69,"Average",1
